State,Region,Year,Month,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate,State Code,period,quarter
Illinois,Midwest,2022,Jan,64.1,61,6423835,6119102,304733,4.7,IL,01-01-2022,Jan-22
Illinois,Midwest,2022,Feb,64.2,61.2,6434118,6134725,299393,4.7,IL,01-02-2022,Jan-22
Illinois,Midwest,2022,Mar,64.3,61.3,6438107,6143126,294981,4.6,IL,01-03-2022,Jan-22
Illinois,Midwest,2022,Apr,64.3,61.4,6439702,6147659,292043,4.5,IL,01-04-2022,Apr-22
Illinois,Midwest,2022,May,64.3,61.4,6436268,6147035,289233,4.5,IL,01-05-2022,Apr-22
Illinois,Midwest,2022,Jun,64.3,61.4,6430424,6143551,286873,4.5,IL,01-06-2022,Apr-22
Illinois,Midwest,2022,Jul,64.2,61.3,6422541,6135978,286563,4.5,IL,01-07-2022,Jul-22
Illinois,Midwest,2022,Aug,64.1,61.2,6412910,6125587,287323,4.5,IL,01-08-2022,Jul-22
Illinois,Midwest,2022,Sep,64,61.1,6407532,6115283,292249,4.6,IL,01-09-2022,Jul-22
Illinois,Midwest,2022,Oct,64,61,6403056,6108080,294976,4.6,IL,01-10-2022,Oct-22
Illinois,Midwest,2022,Nov,63.9,61,6400614,6106116,294498,4.6,IL,01-11-2022,Oct-22
Illinois,Midwest,2022,Dec,63.9,61,6400867,6110432,290435,4.5,IL,01-12-2022,Oct-22
Illinois,Midwest,2023,Jan,64,61.1,6403476,6119484,283992,4.4,IL,01-01-2023,Jan-23
Illinois,Midwest,2023,Feb,64,61.2,6407008,6130317,276691,4.3,IL,01-02-2023,Jan-23
Illinois,Midwest,2023,Mar,64,61.3,6410433,6140073,270360,4.2,IL,01-03-2023,Jan-23
Illinois,Midwest,2023,Apr,64,61.4,6414573,6147200,267373,4.2,IL,01-04-2023,Apr-23
Illinois,Midwest,2023,May,64.1,61.4,6420656,6151107,269549,4.2,IL,01-05-2023,Apr-23
Illinois,Midwest,2023,Jun,64.2,61.4,6429324,6153049,276275,4.3,IL,01-06-2023,Apr-23
Illinois,Midwest,2023,Jul,64.3,61.4,6440510,6154447,286063,4.4,IL,01-07-2023,Jul-23
Illinois,Midwest,2023,Aug,64.4,61.4,6452295,6155764,296531,4.6,IL,01-08-2023,Jul-23
Illinois,Midwest,2023,Sep,64.5,61.4,6462820,6158302,304518,4.7,IL,01-09-2023,Jul-23
Illinois,Midwest,2023,Oct,64.5,61.4,6469641,6161668,307973,4.8,IL,01-10-2023,Oct-23
